                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.3745,                 4.2263,                 2.8756,                 0.3182,                    0.4,                0.27072,                0.11069,                 1.7362,                 5.5016,                 2.5133,              1.111e-05,              1.111e-05,              1.111e-05
                      2,                 2.3424,                 4.2397,                 2.6602,                0.33904,                    0.4,                0.23804,                0.10859,                 1.7285,                 5.4743,                 2.4456,              3.003e-05,              3.003e-05,              3.003e-05
                      3,                 2.2259,                 4.1593,                 2.6668,                0.41214,                0.27298,                0.24242,                 0.1092,                 1.5664,                 4.5632,                 2.3572,             4.4551e-05,             4.4551e-05,             4.4551e-05
                      4,                 1.9614,                 3.9352,                 2.3162,                0.63601,                0.28208,                0.32892,                0.18312,                 1.5362,                 3.8057,                 2.1408,             5.4672e-05,             5.4672e-05,             5.4672e-05
                      5,                 2.1182,                 3.8498,                    2.3,                0.43704,                    0.3,                0.36503,                0.23074,                 1.5045,                 3.2025,                 2.2509,             6.0394e-05,             6.0394e-05,             6.0394e-05
                      6,                 2.1845,                 3.2849,                 2.4183,                0.86906,                0.39981,                0.42152,                0.27226,                 1.3904,                 3.4106,                 2.1093,             6.1716e-05,             6.1716e-05,             6.1716e-05
                      7,                  1.996,                 2.6599,                 2.3837,                0.48024,                0.57258,                0.53167,                0.27824,                 1.3391,                 4.3417,                 2.0302,             5.8639e-05,             5.8639e-05,             5.8639e-05
                      8,                 1.7674,                 2.5167,                 2.0622,                0.79567,                    0.6,                0.60558,                0.31073,                 1.2977,                 5.1691,                 1.9668,             5.1162e-05,             5.1162e-05,             5.1162e-05
                      9,                 1.7813,                 2.7441,                 2.1717,                0.81558,                    0.6,                0.60984,                0.34751,                 1.2644,                 5.1129,                 1.9705,             3.9285e-05,             3.9285e-05,             3.9285e-05
                     10,                 1.6409,                 2.4249,                 1.9141,                0.81282,                    0.6,                0.62362,                0.35561,                 1.2613,                 4.4589,                 1.9705,             2.3009e-05,             2.3009e-05,             2.3009e-05
