                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.0678,                 3.7011,                 1.9221,                    0.8,                0.14023,                0.18858,                0.09033,                 2.0031,                  3.511,                  1.812,              7.777e-05,              7.777e-05,              7.777e-05
                      2,                 1.5745,                 2.3024,                 1.5717,                0.90836,                0.31679,                0.36771,                0.26238,                 1.4587,                 2.2121,                 1.3911,              0.0001584,              0.0001584,              0.0001584
                      3,                 1.2949,                 1.3733,                 1.4038,                0.41651,                0.52879,                0.42391,                0.29943,                 1.3702,                 4.0199,                 1.3019,             0.00023023,             0.00023023,             0.00023023
                      4,                 1.1941,                 1.1602,                 1.3382,                0.78414,                0.54286,                0.61637,                0.44567,                 1.2184,                 2.5802,                 1.2099,             0.00029327,             0.00029327,             0.00029327
                      5,                 1.1652,                 1.0144,                 1.2796,                0.48277,                0.82706,                0.70708,                 0.4651,                  1.174,                 2.7201,                 1.2155,              0.0003475,              0.0003475,              0.0003475
                      6,                 1.1165,                 1.0095,                 1.2758,                0.76025,                0.79623,                0.81671,                0.53022,                 1.1615,                 1.6775,                 1.2273,             0.00039293,             0.00039293,             0.00039293
                      7,                 1.1685,                0.96663,                 1.2562,                0.78697,                0.79453,                0.80674,                0.52613,                 1.0649,                 1.1359,                 1.1624,             0.00042957,             0.00042957,             0.00042957
                      8,                 1.1588,                0.95011,                 1.2378,                0.84191,                0.74286,                0.80888,                0.52334,                 1.1309,                 1.1812,                 1.1772,              0.0004574,              0.0004574,              0.0004574
                      9,                  1.158,                0.96089,                 1.2604,                0.74526,                0.77768,                0.82607,                0.53293,                 1.2281,                 1.1141,                 1.1946,             0.00047644,             0.00047644,             0.00047644
                     10,                 1.0989,                0.89371,                 1.2113,                0.73504,                0.83858,                0.82197,                0.53873,                 1.2046,                 1.0162,                 1.1831,             0.00048668,             0.00048668,             0.00048668
                     11,                 1.1273,                 1.0055,                 1.2303,                0.74689,                0.80427,                0.81048,                0.57258,                 1.1204,                 1.0478,                  1.172,             0.00048812,             0.00048812,             0.00048812
                     12,                 1.1244,                0.97977,                 1.2335,                 0.7586,                0.84666,                 0.8531,                0.53945,                 1.1607,                 1.1032,                 1.1507,             0.00048076,             0.00048076,             0.00048076
                     13,                 1.1523,                0.94545,                 1.2356,                0.85183,                0.82799,                0.85771,                0.53815,                  1.226,                 1.0588,                 1.1963,             0.00045107,             0.00045107,             0.00045107
                     14,                 1.1309,                0.90799,                 1.2103,                0.82617,                0.78487,                0.81414,                0.54269,                 1.1186,                 1.0295,                 1.1466,             0.00045107,             0.00045107,             0.00045107
                     15,                 1.0597,                0.84277,                 1.1784,                0.81459,                0.81564,                0.81932,                0.56486,                  1.091,                0.97093,                 1.1354,             0.00039607,             0.00039607,             0.00039607
                     16,                 1.0707,                0.83848,                 1.1816,                0.83554,                0.82016,                0.83094,                0.57827,                 1.1097,                0.96978,                 1.1306,             0.00034108,             0.00034108,             0.00034108
                     17,                 1.0301,                0.81345,                 1.1594,                0.78686,                0.82857,                0.85158,                0.56749,                 1.1229,                0.98403,                 1.1418,             0.00028608,             0.00028608,             0.00028608
                     18,                 1.0197,                0.80316,                 1.1687,                0.78993,                0.82439,                0.84262,                0.56337,                 1.1521,                0.95159,                 1.1617,             0.00023109,             0.00023109,             0.00023109
                     19,                0.99433,                0.78015,                 1.1481,                 0.8003,                0.84869,                0.84451,                0.57515,                 1.1483,                0.89083,                  1.151,             0.00017609,             0.00017609,             0.00017609
                     20,                  1.029,                0.77211,                 1.1712,                0.80238,                0.85003,                0.84659,                0.57303,                 1.1178,                0.86922,                 1.1324,              0.0001211,              0.0001211,              0.0001211
